title,year,runtime,certificate,rating,metascore,votes,gross
Anand,1971,122,Not Rated,8.1,,34629,
Day of the Wacko,2002,93,Not Rated,8.1,,11118,
Montevideo: Taste of a Dream,2010,140,,8.1,,12656,
Iqbal,2005,132,Not Rated,8.1,,17398,
Ghilli,2004,160,Not Rated,8.1,,15662,
Pardon,2005,99,,8.1,,22309,
The Legend of Bhagat Singh,2002,155,Not Rated,8.1,,16957,
Roja,1992,137,,8.1,,13361,
Guardians of the Galaxy Vol. 3,2023,150,PG-13,8.0,64.0,263376,
Mission: Impossible - Dead Reckoning Part One,2023,163,PG-13,8.0,81.0,118245,
Dune,2021,155,PG-13,8.0,74.0,703052,108.33
Guardians of the Galaxy,2014,121,PG-13,8.0,76.0,1235331,333.18
Blade Runner 2049,2017,164,R,8.0,81.0,616638,92.05
La La Land,2016,128,PG-13,8.0,94.0,626753,151.10
